hotel_name,room_type,max_guests,star_rating,province,district,nearest_cities,activities_at_hotel,nearby_attractions,activities_at_nearby_places,scene_type,image_url,price_per_night_usd,features,description,latitude,longitude
Sandy Palms -Cozy BR w/ AC & Private Bathroom,Private room in guesthouse,2,Not rated,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/19075389/pexels-photo-19075389.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$38,Beach Access; Free Parking; Air Conditioning; Free WiFi,Sandy Palms -Cozy BR w/ AC & Private Bathroom is a comfortable guesthouse room retreat in Colombo — a perfect base for exploring Mount Lavinia Beach with the comfort of Beach Access and Free Parking.,6.886429,79.883046
New Waters Meet Villa Polwatta,Entire home,2,4.85,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,villa | luxury | tropical,https://images.pexels.com/photos/19075391/pexels-photo-19075391.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$166,Beach Access; Spa & Wellness; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,"Indulge in effortless elegance at New Waters Meet Villa Polwatta, a sophisticated home in Colombo where Beach Access and Spa & Wellness set the tone for an unforgettable stay.",6.96554,79.891948
Neverbeen to Cascade Valley with Waterfall View|F2,Private room in villa,4,4.75,North Central Province,Anuradhapura District,Anuradhapura,Waterfall hiking; Swimming in the waterfall pool; Photography of the waterfall; Scenic viewpoint photography; Sunrise and sunset watching from the property; Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines,Jaya Sri Maha Bodhi (Religious Sites); Ruwanwelisaya (Religious Sites); Isurumuniya Temple (Religious Sites); Jethawanaramaya Stupa (Religious Sites); Abhayagiri Dagaba (Religious Sites); Dagoba of Thuparama (Religious Sites),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas,villa | hillside | nature,https://images.pexels.com/photos/31836902/pexels-photo-31836902.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$99,Mountain View; Free Parking; Free WiFi,"Luxuriate in the space and privacy of Neverbeen to Cascade Valley with Waterfall View|F2, a stunning villa room in Anuradhapura complete with Mountain View and easy reach of Jaya Sri Maha Bodhi.",8.326822,80.430583
Superior Double Cabana Non A/C with Breakfast,Private room in bed and breakfast,2,4.93,Western Province,Gampaha District,Negombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Negombo Beach (Beaches); Negombo Fish Market (Town & Heritage); Henarathgoda Botanical Garden (Gardens); Muthurajawela Wetland Reserve (Nature & Wildlife Areas); Marawila Beach (Beaches); Kolomba Kataragama Devalaya (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast,guesthouse | cozy | homely,https://images.pexels.com/photos/24805054/pexels-photo-24805054.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$40,Beach Access; Breakfast Included; Free WiFi,Superior Double Cabana Non A/C with Breakfast is a comfortable B&B room retreat in Negombo — a perfect base for exploring Negombo Beach with the comfort of Beach Access and Breakfast Included.,7.053405,80.060767
Island Star POOL & SPA,Entire rental unit,4,3.88,Western Province,Colombo District,Colombo,Island exploration walks; Snorkeling around the island; Beach relaxation; Swimming in the hotel pool; Poolside relaxation and sunbathing; Spa treatments and massages; Body scrubs and wellness therapies; Relaxation sessions; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,island | tropical | beach,https://images.pexels.com/photos/6466281/pexels-photo-6466281.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$94,Swimming Pool; Beach Access; Full Kitchen; Air Conditioning; Free WiFi,Wake up to the sound of waves at Island Star POOL & SPA — a sun-drenched apartment retreat in Colombo with direct beach access and Swimming Pool.,6.92873,79.884072
3 Bedroom Apartment @ Fairway Sunset Galle,Entire condo,6,4.69,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,apartment | modern | city,https://images.pexels.com/photos/19869225/pexels-photo-19869225.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$106,Beach Access; Full Kitchen; Family Friendly; Air Conditioning; Free WiFi,Urban comfort meets local character at 3 Bedroom Apartment @ Fairway Sunset Galle — a contemporary condo in Colombo with Beach Access and a short stroll to Mount Lavinia Beach.,6.942239,79.904223
Villa B7 - Weligama : 5 Min to Sea,Entire rental unit,3,Not rated,Southern Province,Matara District,Mirissa,Swimming in the sea; Sea-view relaxation; Sunset watching over the sea; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Mirissa Beach (Beaches); Weligama Beach (Beaches); Parrot Rock Mirissa (Viewpoints); Mirissa Whale Watching (Adventure & Sports); Dondra Head Lighthouse (Viewpoints); Weherehena Temple Matara (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast,villa | tropical | coastal,https://images.pexels.com/photos/6875531/pexels-photo-6875531.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$92,Beach Access; Ocean View; Full Kitchen; Air Conditioning; Free WiFi,"Escape the ordinary at Villa B7 - Weligama : 5 Min to Sea, a villa-style villa retreat in Mirissa where Beach Access, Ocean View, and warm hospitality create lasting memories.",5.939042,80.583535
Trinco Modern Holidays House A,Entire bungalow,10,4.8,Eastern Province,Trincomalee District,"Trincomalee, Nilaveli",Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Day trip to nearby temples and shrines; Attending local festivals and ceremonies; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour,Nilaveli Beach (Beaches); Marble Beach (Beaches); Pigeon Island National Park (National Parks); Koneswaram Temple (Religious Sites); Kanniya Hot Springs (Nature & Wildlife Areas); Fort Frederick Trincomalee (Historic Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours,bungalow | tropical | garden,https://images.pexels.com/photos/1450361/pexels-photo-1450361.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$115,Beach Access; Full Kitchen; Family Friendly; Garden; Free Parking; Air Conditioning,"Surrounded by verdant gardens in Trincomalee, Trinco Modern Holidays House A offers a peaceful bungalow escape with Beach Access and a garden setting unlike any other.",8.571302,81.201232
Greenwood Villa  river view with natural bath tub,Private room in bed and breakfast,4,4.99,Western Province,Kalutara District,"Bentota, Kandy, Ella",River swimming; River boat rides; Fishing in the river; Riverside walks and cycling; Scenic viewpoint photography; Sunrise and sunset watching from the property; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Swimming in the nearby lake,Bentota Beach (Beaches); Kalutara Beach (Beaches); Bentota River Safari (Lagoons & Wetlands); Kalutara Bodhiya (Religious Sites); Beruwala Beach (Beaches); Kande Vihara Aluthgama (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking,river | nature | tropical,https://images.pexels.com/photos/29000093/pexels-photo-29000093.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$48,Beach Access; Breakfast Included; Air Conditioning; Free WiFi,"Immerse yourself in the green serenity of Bentota's natural landscape at Greenwood Villa  river view with natural bath tub, a tropical B&B room retreat with Beach Access and Breakfast Included.",6.620995,79.95379
Hillside Hideaway,Entire villa,4,4.73,Central Province,Kandy District,"Kandy, Nuwara Eliya, Ella",Scenic hill walks and hiking; Panoramic hill-top views; Photography of hill country; Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Day visit to nearby botanical gardens; Photography walk through scenic gardens; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area,Temple of the Sacred Tooth Relic (Religious Sites); Royal Botanical Gardens Peradeniya (Gardens); Ramboda Waterfall (Waterfalls); Kandy Lake (Bodies of Water); Bahiravokanda Vihara Buddha Statue (Religious Sites); Peradeniya Botanical Gardens (Gardens),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Botanical garden walks; Nature and flower photography; Picnics among flowers and trees; Guided plant and herb tours; Bird watching in garden habitats,mountain | hillside | scenic,https://images.pexels.com/photos/31817157/pexels-photo-31817157.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$232,Mountain View; Full Kitchen; Free Parking; Free WiFi,"Find your altitude at Hillside Hideaway — a tranquil villa hideaway in Kandy where cool mountain air, Mountain View, and views of Temple of the Sacred Tooth Relic await.",7.329668,80.661118
modern house a stylish furniture,Entire home,4,4.5,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/28320062/pexels-photo-28320062.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$119,Beach Access; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,"Enjoy an authentic stay at modern house a stylish furniture, a well-appointed home in Colombo with Beach Access and a short distance from Mount Lavinia Beach.",6.915863,79.832082
Rock garden unawatuna,Entire villa,8,4.93,Southern Province,Galle District,"Unawatuna, Galle, Ahangama",Relaxing walks through the hotel garden; Garden photography; Birdwatching in the garden; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments,garden | tropical | nature,https://images.pexels.com/photos/31969409/pexels-photo-31969409.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$246,Beach Access; Full Kitchen; Family Friendly; Garden; Free Parking; Air Conditioning,Let the fragrance of tropical blooms welcome you to Rock garden unawatuna — a charming villa in Unawatuna with a garden retreat feel and proximity to Hikkaduwa Beach.,6.064539,80.1785
2 Bedroom Villa close to beach,Entire home,4,Not rated,Southern Province,Galle District,"Hikkaduwa, Mirissa, Bentota",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/35157038/pexels-photo-35157038.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$138,Beach Access; Ocean View; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,"Embrace the coastal lifestyle at 2 Bedroom Villa close to beach, a laid-back home in Hikkaduwa offering beach access, Beach Access, and the charm of Hikkaduwa Beach.",6.01874,80.233779
Eagle Homestay - Tangalle,Entire home,6,Not rated,Southern Province,Hambantota District,"Weligatta, Tissamaharama",Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour; Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water,Yala National Park (National Parks); Tissamaharama Raja Maha Vihara (Religious Sites); Tissa Wewa Hambantota (Bodies of Water); Tangalle Beach (Beaches); Rekawa Beach (Beaches); Bundala National Park (National Parks),Jeep safari to spot elephants and leopards; Bird watching with a local guide; Wildlife tracking walks; Nature photography; Guided eco tours; Camping inside the park; Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water,tropical | garden | beach,https://images.pexels.com/photos/18482509/pexels-photo-18482509.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$119,Beach Access; Full Kitchen; Family Friendly; Garden; Free Parking; Air Conditioning,"Steps from the golden sands of Weligatta, Eagle Homestay - Tangalle is a breezy home haven where ocean breezes and Yala National Park are right at your doorstep.",6.123852,81.148973
Madugalles B&B Double Non-AC Room in Kandy Town,Private room in bed and breakfast,2,4.96,Western Province,Gampaha District,Negombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Negombo Beach (Beaches); Negombo Fish Market (Town & Heritage); Henarathgoda Botanical Garden (Gardens); Muthurajawela Wetland Reserve (Nature & Wildlife Areas); Marawila Beach (Beaches); Kolomba Kataragama Devalaya (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast,guesthouse | cozy | homely,https://images.pexels.com/photos/36489549/pexels-photo-36489549.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$41,Beach Access; Breakfast Included; Free WiFi,"Discover genuine Sri Lankan warmth at Madugalles B&B Double Non-AC Room in Kandy Town, a welcoming B&B room in Negombo offering Beach Access, Breakfast Included, and easy access to Negombo Beach.",7.051562,80.051446
The Om,Private room in bed and breakfast,2,Not rated,Western Province,Gampaha District,Negombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Negombo Beach (Beaches); Negombo Fish Market (Town & Heritage); Henarathgoda Botanical Garden (Gardens); Muthurajawela Wetland Reserve (Nature & Wildlife Areas); Marawila Beach (Beaches); Kolomba Kataragama Devalaya (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast,guesthouse | cozy | homely,https://images.pexels.com/photos/7201513/pexels-photo-7201513.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$37,Beach Access; Breakfast Included; Free WiFi,The Om is a comfortable B&B room retreat in Negombo — a perfect base for exploring Negombo Beach with the comfort of Beach Access and Breakfast Included.,7.092014,80.061295
Tamarind villa,Entire home,9,4.38,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,villa | luxury | tropical,https://images.pexels.com/photos/11087431/pexels-photo-11087431.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$155,Beach Access; Spa & Wellness; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Indulge in effortless elegance at Tamarind villa, a sophisticated home in Colombo where Beach Access and Spa & Wellness set the tone for an unforgettable stay.",6.955245,79.819917
"""A Home within the City""",Entire condo,6,4.75,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,apartment | modern | city,https://images.pexels.com/photos/20898616/pexels-photo-20898616.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$110,Beach Access; Full Kitchen; Family Friendly; Air Conditioning; Free WiFi,"Perfectly positioned in the pulse of Colombo, ""A Home within the City"" is a sleek condo offering Beach Access, Full Kitchen, and effortless access to Mount Lavinia Beach.",6.886511,79.842572
1 Bedroom villa with a beautiful view.,Entire home,2,Not rated,Western Province,Colombo District,Colombo,Scenic viewpoint photography; Sunrise and sunset watching from the property; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,villa | luxury | tropical,https://images.pexels.com/photos/33778904/pexels-photo-33778904.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$168,Beach Access; Spa & Wellness; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,Where refined comfort meets tropical splendour — 1 Bedroom villa with a beautiful view. in Colombo delivers a premium home experience with Beach Access and proximity to Mount Lavinia Beach.,6.970506,79.827347
Black Man Guest House,Entire home,8,4.08,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/14012389/pexels-photo-14012389.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$123,Beach Access; Full Kitchen; Family Friendly; Free Parking; Air Conditioning; Free WiFi,"Discover genuine Sri Lankan warmth at Black Man Guest House, a welcoming home in Colombo offering Beach Access, Full Kitchen, and easy access to Mount Lavinia Beach.",6.905112,79.847533
Stay with Srima & Jay - Retired teacher,Private room in home,2,Not rated,Central Province,Nuwara Eliya District,"Nuwara Eliya, Haputale, Ella",Tea plantation walks; Tea tasting sessions; Tea factory tour nearby; Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour; Day visit to nearby botanical gardens; Photography walk through scenic gardens,Horton Plains National Park (National Parks); Hakgala Botanic Gardens (Gardens); Victoria Park Nuwara Eliya (Gardens); Pedro Tea Factory (Farms); Bluefield Tea Gardens (Farms); Ambewela Farms (Farms),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided tea plantation walks; Tea factory tours and tea tasting; Scenic walks through tea fields; Learning the tea production process; Meeting local tea pickers,tea | plantation | green,https://images.pexels.com/photos/14741183/pexels-photo-14741183.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$41,Free Parking; Free WiFi,Stay with Srima & Jay - Retired teacher is a comfortable private room retreat in Nuwara Eliya — a perfect base for exploring Horton Plains National Park with the comfort of Free Parking and Free WiFi.,6.908623,80.757019
Beautiful beach villa Talalla,Room in hotel,2,Not rated,Southern Province,Galle District,"Hikkaduwa, Mirissa, Bentota",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/14357627/pexels-photo-14357627.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$101,Beach Access; Ocean View; Restaurant On-site; Air Conditioning; Free WiFi,Wake up to the sound of waves at Beautiful beach villa Talalla — a sun-drenched hotel room retreat in Hikkaduwa with direct beach access and Beach Access.,6.080694,80.196794
